State,County,Latitude,Longitude,Region,Year,Population,Med_Sales,Rec_Sales,med_sales_per_citizen,rec_sales_per_citizen,Medical Sales Tax (2.9%),Retail Sales Tax (2.9%),Retail Marijuana Special Sales Tax
COLORADO,Cheyenne ,38.835387,-102.604585,SE,2015,1815,0,0,0,0,3498,15590,43411
COLORADO,Clear Creek ,39.689403,-105.670791,NW,2015,9279,1031231,5403849,111.136006,582.3740705,23695,130763,355239
COLORADO,Conejos ,37.268971,-106.252214,SW,2015,8034,0,NR,0,NR,0,NR,NR
COLORADO,Costilla ,37.277547,-105.42894,SE,2015,3577,NR,NR,NR,NR,NR,NR,NR
COLORADO,Crowley ,38.321956,-103.787562,SE,2015,5567,0,0,0,0,0,0,0
COLORADO,Custer ,38.101994,-105.373515,SE,2015,4431,0,0,0,0,0,0,0
COLORADO,Delta ,38.861756,-107.864757,SW,2015,29929,0,0,0,0,0,0,0
COLORADO,Denver ,39.761849,-104.880625,NE,2015,683081,190607334,216596860,279.0406028,317.0881052,4938367,5937202,17730896
COLORADO,Dolores ,37.747602,-108.530383,SW,2015,1973,0,0,0,0,0,0,0
COLORADO,Douglas ,39.326435,-104.926199,NE,2015,321772,0,0,0,0,0,0,0
COLORADO,Eagle ,39.630638,-106.692944,NW,2015,53610,3497800,8187585,65.24529006,152.724958,104788,226720,661139
COLORADO,Elbert ,39.310817,-104.117928,NE,2015,24522,0,0,0,0,0,0,0
COLORADO,El Paso,39.630638,-106.692944,SE,2015,674993,86100007,NR,127.5568887,NR,2348200,NR,NR
COLORADO,Fremont ,38.455658,-105.421438,SE,2015,46245,2392649,0,51.73854471,0,69247,0,0
COLORADO,Garfield ,39.599352,-107.90978,NW,2015,57755,4935660,9099897,85.45857502,157.5603324,139386,246492,741002
COLORADO,Gilpin ,39.861082,-105.528947,NE,2015,5792,124465,1890289,21.48912293,326.3620511,5986,50930,150858
COLORADO,Grand ,40.123289,-106.095876,NW,2015,14686,NR,1380296,NR,93.98719869,NR,32637,93959
COLORADO,Gunnison ,38.669679,-107.078108,SW,2015,16120,NR,3262219,NR,202.3709057,237,95503,264517
COLORADO,Hinsdale ,37.811625,-107.383405,SW,2015,764,0,0,0,0,0,0,0
COLORADO,Huerfano ,37.612598,-104.938885,SE,2015,6379,0,NR,0,NR,0,NR,NR
COLORADO,Jackson ,40.663432,-106.329248,NW,2015,1350,0,0,0,0,0,0,0
